"taxon_ID","trait_ID","trait_value","agreement","references","taxon_name","taxon_author","taxon_lvl","link_source"
185,"3.3.2","anemochorous",1,"10327","Eupteleaceae","K.Wilh.","family","APG_IV"
185,"3.6.1","abiotic",1,"10327","Eupteleaceae","K.Wilh.","family","APG_IV"
187,"3.6.1","biotic",1,"10327","Circaeasteraceae","Hutch.","family","APG_IV"
188,"3.3.1","zoochorous",1,"10327","Lardizabalaceae","R.Br.","family","APG_IV"
188,"3.3.2","endozoochorous",1,"10327","Lardizabalaceae","R.Br.","family","APG_IV"
188,"3.6.1","biotic",1,"10327","Lardizabalaceae","R.Br.","family","APG_IV"
189,"3.6.1","biotic",1,"10327","Menispermaceae","Juss.","family","APG_IV"
190,"3.6.1","biotic",1,"10327","Berberidaceae","Juss.","family","APG_IV"
193,"3.3.1","hydrochorous",1,"10327","Nelumbonaceae","A.Rich.","family","APG_IV"
193,"3.3.2","hydrochorous",1,"10327","Nelumbonaceae","A.Rich.","family","APG_IV"
193,"3.6.1","biotic",1,"10327","Nelumbonaceae","A.Rich.","family","APG_IV"
194,"3.3.1","anemochorous",1,"10327","Platanaceae","T.Lestib.","family","APG_IV"
194,"3.3.2","anemochorous",1,"10327","Platanaceae","T.Lestib.","family","APG_IV"
194,"3.6.1","abiotic",1,"10327","Platanaceae","T.Lestib.","family","APG_IV"
195,"3.6.1","biotic",1,"10327","Proteaceae","Juss.","family","APG_IV"
198,"3.3.1","anemochorous",1,"10327","Myrothamnaceae","Nied.","family","APG_IV"
198,"3.3.2","anemochorous",1,"10327","Myrothamnaceae","Nied.","family","APG_IV"
198,"3.6.1","abiotic",1,"10327","Myrothamnaceae","Nied.","family","APG_IV"
199,"3.6.1","abiotic",1,"10327","Gunneraceae","Meisn.","family","APG_IV"
200,"3.6.1","biotic",1,"10327","Dilleniaceae","Salisb.","family","APG_IV"
202,"3.3.1","zoochorous",1,"10327","Paeoniaceae","Raf.","family","APG_IV"
202,"3.3.2","endozoochorous",1,"10327","Paeoniaceae","Raf.","family","APG_IV"
202,"3.6.1","biotic",1,"10327","Paeoniaceae","Raf.","family","APG_IV"
203,"3.3.1","anemochorous",1,"10327","Altingiaceae","Lindl.","family","APG_IV"
203,"3.3.2","anemochorous",1,"10327","Altingiaceae","Lindl.","family","APG_IV"
205,"3.3.1","anemochorous",1,"10327","Cercidiphyllaceae","Engl.","family","APG_IV"
205,"3.3.2","anemochorous",1,"10327","Cercidiphyllaceae","Engl.","family","APG_IV"
205,"3.6.1","abiotic",1,"10327","Cercidiphyllaceae","Engl.","family","APG_IV"
206,"3.3.1","zoochorous",1,"10327","Daphniphyllaceae","Muell.Arg.","family","APG_IV"
206,"3.3.2","endozoochorous",1,"10327","Daphniphyllaceae","Muell.Arg.","family","APG_IV"
208,"3.3.1","zoochorous",1,"10327","Grossulariaceae","DC.","family","APG_IV"
208,"3.3.2",NA,0.5,"10327","Grossulariaceae","DC.","family","APG_IV"
208,"3.6.1","biotic",1,"10327","Grossulariaceae","DC.","family","APG_IV"
210,"3.3.1","anemochorous",1,"10327","Crassulaceae","J.St.-Hil.","family","APG_IV"
210,"3.3.2","anemochorous",1,"10327","Crassulaceae","J.St.-Hil.","family","APG_IV"
210,"3.6.1","biotic",1,"10327","Crassulaceae","J.St.-Hil.","family","APG_IV"
211,"3.3.1","anemochorous",1,"10327","Aphanopetalaceae","Doweld","family","APG_IV"
211,"3.3.2","anemochorous",1,"10327","Aphanopetalaceae","Doweld","family","APG_IV"
212,"3.3.1","anemochorous",1,"10327","Tetracarpaeaceae","Nakai","family","APG_IV"
212,"3.3.2","anemochorous",1,"10327","Tetracarpaeaceae","Nakai","family","APG_IV"
213,"3.3.1","anemochorous",1,"10327","Penthoraceae","Rydb. ex Britton","family","APG_IV"
213,"3.3.2","anemochorous",1,"10327","Penthoraceae","Rydb. ex Britton","family","APG_IV"
216,"3.3.1","zoochorous",1,"10327","Vitaceae","Juss.","family","APG_IV"
216,"3.3.2","endozoochorous",1,"10327","Vitaceae","Juss.","family","APG_IV"
217,"3.3.1","zoochorous",1,"10327","Krameriaceae","Dumort.","family","APG_IV"
217,"3.3.2","epizoochorous",1,"10327","Krameriaceae","Dumort.","family","APG_IV"
217,"3.6.1","biotic",1,"10327","Krameriaceae","Dumort.","family","APG_IV"
218,"3.6.1","biotic",1,"10327","Zygophyllaceae","R.Br.","family","APG_IV"
219,"3.3.1","anemochorous",1,"10327","Quillajaceae","D.Don","family","APG_IV"
219,"3.3.2","anemochorous",1,"10327","Quillajaceae","D.Don","family","APG_IV"
219,"3.6.1","biotic",1,"10327","Quillajaceae","D.Don","family","APG_IV"
